Nom,Adresse,Prestations,Tel,Website,page
 L'Artisan Du Burger ," 206 r Grenelle, 75007 PARIS", , 01 42 36 42 85 ,null http://facebook.com/lartisanduburger http://lartisanduburger.com/grenelle,43
 Lonsine ," 216 Bis r Pyrénées, 75020 PARIS", , 01 42 51 17 53 , ,43
 King Marcel ," 166 r Montmartre, 75002 PARIS", , 01 43 67 57 66 , ,43
 JEANNE B JEANNE BUTTE MONTMARTRE ," 61 r Lepic, 75018 PARIS", , 01 42 60 77 40 ,null http://www.facebook.com/jeanne.b.comestibles http://www.facebook.com/pages/Jeanne-B/605972402753372?fref=ts http://www.jeanne-b-comestibles.com,43
 Nabs ," 142 bd Charonne, 75020 PARIS"," Paiement : Chèques vacances, CB, Visa, Mastercard, American Express, Titres restaurants", 01 43 07 26 57 ,null http://www.casabotticelli.fr http://www.facebook.com/pages/Casa-Botticeli/226459391201749 http://www.facebook.com/pages/Casa-Botticelli/155879257790005,43
 Aux Castelblangeois ," 168 r St Honoré, 75001 PARIS", , 09 62 55 06 41 ,http://www.auxcastelblangeois.com,43
 Harkiolakis Georges Terre de Crète ," 17 r Rendez Vous, 75012 PARIS"," Prestations : traiteur grec, traiteur à domicile, livraison de repas à domicile, location de matériel de réception, location de vaisselle, location de salle, personnel de réception, maître d'hôtel, cuisinier, repas d'affaire, repas d'anniversaire, repas sans sel, plateau repas, plateau repas bio, organisation de réceptions, boisson, vente à emporter", 01 45 55 56 75 ,http://www.terredecrete.fr,43
 Montmartre Express ," 20 bd Montmartre, 75009 PARIS", , 09 81 25 96 95 ,http://www.facebook.com/ExpressReservation,43
 Tadros Magda ," 15 r Monttessuy, 75007 PARIS"," Prestations : traiteur grec, traiteur italien, boisson, vente à emporter, livraison de repas à domicile, traiteur halal, traiteur à domicile, repas d'affaire, repas d'anniversaire, repas sans gluten, repas sans sel, plateau repas, organisation de réceptions", 09 83 71 61 00 ,null http://www.facebook.com/pages/Magda-Traiteur/260901934028383 http://www.dscafe.fr,43
 Vous ," 24 r St Ferdinand, 75017 PARIS", , 01 48 28 11 47 ,http://www.facebook.com/conceptam.fr,43
